rank	title	author_name	year	n_citation
2470	Tone reproduction for realistic images	Jack Tumblin	1993	609
2471	Robust Monte Carlo localization for mobile robots	Sebastian Thrun	2001	1992
2472	A new three-step search algorithm for block motion estimation	Renxiang Li	1994	2236
2473	Improving Generalization with Active Learning	David Cohn	1994	1298
2474	Genetic algorithms, noise, and the sizing of populations	David E. Goldberg	1991	882
2475	Robust distributed network localization with noisy range measurements	David Moore	2004	1138
2476	Detection of anomalous computer session activity	Vaccaro H	1989	216
2477	The input/output complexity of sorting and related problems	Alok Aggarwal	1988	1393
2478	Context-Dependent Pre-Trained Deep Neural Networks for Large-Vocabulary Speech Recognition	George E. Dahl	2012	1460
2479	SVMTorch: support vector machines for large-scale regression problems	Ronan Collobert	2001	1035
2480	Computers are social actors	Clifford Nass	1994	1014
2481	Switched Controller Synthesis for the Quadratic Stabilisation of a Pair of Unstable Linear Systems	Mark A. Wicks	1998	95
2482	Simplified Support Vector Decision Rules.	Christopher J. C. Burges	1996	462
2483	NOSER: An algorithm for solving the inverse conductivity problem	Margaret Cheney	1990	540
2484	FFTW: an adaptive software architecture for the FFT	Matteo Frigo	1998	1858
2485	Entity Authentication and Key Distribution	Mihir Bellare	1993	1760
2486	A simple derivation of the coding theorem and some applications	Robert G. Gallager	1965	704
2487	Characterizing the Internet hierarchy from multiple vantage points	Lakshminarayanan Subramanian	2002	734
2488	UCPOP: A Sound, Complete, Partial Order Planner for ADL.	J. Scott Penberthy	1992	1017
2489	Situated information spaces and spatially aware palmtop computers	George W. Fitzmaurice	1993	616
2490	E-CELL: software environment for whole-cell simulation.	Masaru Tomita	1999	911
2491	Articulated body motion capture by annealed particle filtering	Jonathan Deutscher	2000	1179
2492	Combining Fuzzy Information from Multiple Systems.	Ronald Fagin	1996	934
2493	Probabilistic inference and influence diagrams	Ross D. Shachter	1988	182
2494	Secure spread spectrum watermarking for images, audio and video	Ingemar J. Cox	1996	734
2495	Simics: A full system simulation platform	Peter S. Magnusson	2002	3038
2496	An Affine Invariant Interest Point Detector	Krystian Mikolajczyk	2002	1708
2497	Model-based tracking of self-occluding articulated objects	James M. Rehg	1995	551
2498	Recognizing Facial Expressions in Image Sequences Using Local Parameterized Models of Image Motion	Michael J. Black	1997	609
2499	Matrix multiplication via arithmetic progressions	Don Coppersmith	1987	2082
2500	Transmission Range Control in Multihop Packet Radio Networks	TingChao Hou	1986	860
2501	Spectral efficiency of CDMA with random spreading	Sergio Verdu	1999	1003
2502	Design of the Utah/M.I.T. Dextrous Hand	S. C. Jacobsen	1986	145
2503	On the Connection Assignment Problem of Diagnosable Systems	Franco P. Preparata	1967	498
2504	An experimental evaluation of the assumption of independence in multiversion programming	John C. Knight	1986	876
2505	Semantics and implementation of schema evolution in object-oriented databases	Jay Banerjee	1987	996
2506	An analysis of alpha-beta pruning	Donald E. Knuth	1975	1077
2507	Caffe: Convolutional Architecture for Fast Feature Embedding	Yangqing Jia	2014	7464
2508	LogP: towards a realistic model of parallel computation	David E. Culler	1993	2049
2509	Constructing simple stable descriptions for image partitioning	Yvan G. Leclerc	1989	702
2510	Parallel database systems: the future of high performance database systems	David J. DeWitt	1992	1720
2511	Query by committee	H. S. Seung	1992	1130
2512	Techniques for calibration of the scale factor and image center for high accuracy 3-D machine vision metrology	Reimar K. Lenz	1988	568
2513	A data-oriented (and beyond) network architecture	Teemu Koponen	2007	1699
2514	Steganalysis of Images Created Using Current Steganography Software	Neil F. Johnson	1998	530
2515	Knowledge Management: An Organizational Capabilities Perspective	Andrew H. Gold	2001	3488
2516	A numerically stable dual method for solving strictly convex quadratic programs	Donald Goldfarb	1983	967
2517	Dynamically discovering likely program invariants to support program evolution	Michael D. Ernst	1999	1497
2518	Prior Probabilities	Edwin T. Jaynes	1968	1557
2519	A family of suboptimum detectors for coherent multiuser communications	Zhenhua Xie	1990	1151
2520	Brief paper: Application of nonlinear transformations to automatic flight control	George E. Meyer	1984	293
2521	Detecting intrusions using system calls: alternative data models	Christina E. Warrender	1999	1407
2522	Topology matching for fully automatic similarity estimation of 3D shapes	Masaki Hilaga	2001	1443
2523	Locality-sensitive hashing scheme based on p-stable distributions	Mayur Datar	2004	2166
2524	PROMPT: Algorithm and Tool for Automated Ontology Merging and Alignment	Natalya Fridman Noy	2000	1374
2525	Two-level adaptive training branch prediction	Tse-Yu Yeh	1991	699
2526	E-learning 2.0	Stephen Downes	2005	1317
2527	A unified architecture for natural language processing: deep neural networks with multitask learning	Ronan Collobert	2008	2276
2528	Construction of Abstract State Graphs with PVS	Susanne Graf	1997	1695
2529	Weaknesses in the Key Scheduling Algorithm of RC4	Scott R. Fluhrer	2001	1061
2530	Trading group theory for randomness	László Babai	1985	817
2531	Modulation and Information Hiding in Images	Joshua R. Smith	1996	387
2532	Symbolic model checking for real-time systems	Thomas A. Henzinger	1994	1520
2533	A method for managing evidential reasoning in a hierarchical hypothesis space	Jean Gordon	1985	511
2534	Parametric correspondence and chamfer matching: two new techniques for image matching	Harry G. Barrow	1977	759
2535	KEGG for linking genomes to life and the environment.	Minoru Kanehisa	2007	2780
2536	Composite Texture Descriptions	Alexey Zalesny	2002	1802
2537	Sum capacity of Gaussian vector broadcast channels	Wei Yu	2004	914
2538	Mining high-speed data streams	Pedro M. Domingos	2000	1886
2539	SCOP: a Structural Classification of Proteins database	Tim Hubbard	1997	500
2540	SmartSkin: an infrastructure for freehand manipulation on interactive surfaces	Jun Rekimoto	2002	1086
2541	The contourlet transform: an efficient directional multiresolution image representation	Minh N. Do	2005	4235
2542	Motor Schema — Based Mobile Robot Navigation	Ronald C. Arkin	1989	1402
2543	SOAP: short oligonucleotide alignment program	Ruiqiang Li	2008	1768
2544	Cellular packet communications	David J. Goodman	1990	592
2545	Long-range dependence in variable-bit-rate video traffic	Jan Beran	1995	1592
2546	New Algorithms for Fast Discovery of Association Rules	Mohammed J. Zaki	1997	1453
2547	New criteria for blind deconvolution of nonminimum phase systems (channels)	Ofir Shalvi	1990	670
2548	Computer Networking: A Top-Down Approach Featuring the Internet	James F. Kurose	2002	4871
2549	Sparse signal reconstruction from limited data using FOCUSS: a re-weighted minimum norm algorithm	Irina Gorodnitsky	1997	1597
2550	An approximate max-flow min-cut theorem for uniform multicommodity flow problems with applications to approximation algorithms	Tom Leighton	1988	522
2551	The use of cone-shaped kernels for generalized time-frequency representations of nonstationary signals	Yunxin Zhao	1990	537
2552	A note on preemptive scheduling of periodic, real-time tasks☆	Joseph Y.-T. Leung	1980	530
2553	Cluster-based scalable network services	Armando Fox	1997	806
2554	List processing in real time on a serial computer	Henry G. Baker	1978	863
2555	Pattern recognition: statistical, structural and neural approaches	Robert J. Schalkoff	1991	243
2556	A scientific methodology for MIS case studies	Allen S. Lee	1989	1709
2557	Lazy abstraction	Thomas A. Henzinger	2002	1272
2558	Computer network development to achieve resource sharing	Lawrence G. Roberts	1970	113
2559	Stimulating cooperation in self-organizing mobile ad hoc networks	Levente Buttyán	2003	1505
2560	Learning and reasoning by analogy	Patrick Henry Winston	1980	482
2561	Annotating Expressions of Opinions and Emotions in Language	Janyce Wiebe	2005	1340
2562	Nonlinear subsidence rate estimation using permanent scatterers in differential SAR interferometry	A. Ferretti	2000	1560
2563	A comparison of mechanisms for improving TCP performance over wireless links	Hari Balakrishnan	1996	1963
2564	Learning to rank using gradient descent	Christopher J. C. Burges	2005	827
2565	Geometric intersection problems	Michael Ian Shamos	1976	503
2566	Finding similar files in a large file system	Udi Manber	1994	605
2567	A global test for groups of genes: testing association with a clinical outcome	Jelle J. Goeman	2004	925
2568	Parallel coordinates: a tool for visualizing multi-dimensional geometry	Alfred Inselberg	1990	920
2569	Multirate 3-D subband coding of video	David Taubman	1994	879
2570	The Multifrontal Solution of Indefinite Sparse Symmetric Linear	Iain S. Duff	1983	1074
2571	Rapid, stable fluid dynamics for computer graphics	Michael Kass	1990	566
2572	Robust Positioning Algorithms for Distributed Ad-Hoc Wireless Sensor Networks	Chris Savarese	2002	1209
2573	Computer systems and the design of organizational interaction	Fernando Flores	1988	585
2574	An iterative scheme for variational inequalities	Stella Dafermos	1983	334
2575	Three-dimensional alpha shapes	Herbert Edelsbrunner	1992	1958
2576	An optimal graph theoretic approach to data clustering: theory and its application to image segmentation	Zhenyu Wu	1993	1331
2577	SplitStream: high-bandwidth multicast in cooperative environments	Miguel Castro	2003	2058
2578	Structural Saliency: The Detection Of Globally Salient Structures using A Locally Connected Network	A. Sha'asua	1988	274
2579	Indexing the positions of continuously moving objects	Simonas Šaltenis	2000	1254
2580	People, organizations, and process improvement	Dewayne E. Perry	1994	419
2581	Analysis of a very large web search engine query log	Craig Silverstein	1999	1387
2582	Constraints methods for flexible models	John Platt	1988	487
2583	Face recognition using Laplacianfaces	Xiaofei He	2005	2932
2584	A network on chip architecture and design methodology	Shashi Kumar	2002	1453
2585	Extended static checking	K. Rustan M. Leino	1998	655
2586	Ontology learning for the Semantic Web	Alexander Maedche	2001	2729
2587	SSCH: slotted seeded channel hopping for capacity improvement in IEEE 802.11 ad-hoc wireless networks	Paramvir Bahl	2004	1178
2588	What is the best multi-stage architecture for object recognition?	Kevin Jarrett	2009	1040
2589	`` Strong '' NP-Completeness Results: Motivation, Examples, and Implications	M. R. Garey	1978	475
2590	On lightweight mobile phone application certification	William Enck	2009	932
2591	Soft Margins for AdaBoost	Gunnar Rätsch	2001	1170
2592	A Study of Control Parameters Affecting Online Performance of Genetic Algorithms for Function Optimization	J. David Schaffer	1989	1266
2593	Granularity of Locks and Degrees of Consistency in a Shared Data Base.	Jim Gray	1976	555
2594	Multitask Learning	Rich Caruana	1997	1465
2595	High-quality video view interpolation using a layered representation	C. Lawrence Zitnick	2004	1477
2596	Scale and performance in the Denali isolation kernel	Andrew Whitaker	2002	557
2597	Taming the computational complexity of combinatorial auctions: optimal and approximate approaches	Yuzo Fujishima	1999	611
2598	The well-founded semantics for general logic programs	Allen Van Gelder	1991	2007
2599	A simple parallel algorithm for the maximal independent set problem	Michael Luby	1986	1204
2600	Open Shop Scheduling to Minimize Finish Time	Teofilo F. Gonzalez	1976	724
2601	Social translucence: an approach to designing systems that support social processes	Thomas Erickson	2000	1069
2602	Traffic phase effects in packet-switched gateways	Sally Floyd	1991	159
2603	Dynamic queries for information exploration: an implementation and evaluation	Christopher Ahlberg	1992	671
2604	Augmented Lagrangians and Applications of the Proximal Point Algorithm in Convex Programming	R. T. Rockafellar	1976	977
2605	Multi-Agent Systems: An Introduction to Distributed Artificial Intelligence	Jacques Ferber	1999	3876
2606	Sensing-Throughput Tradeoff for Cognitive Radio Networks	Ying-Chang Liang	2008	2398
2607	CMOS Circuit Speed and Buffer Optimization	Nils Hedenstierna	1987	614
2608	Epipolar-plane image analysis: An approach to determining structure from motion	Robert C. Bolles	1987	552
2609	Decentralized overlapping control of a platoon of vehicles	Srdjan S. Stankovic	2000	393
2610	The Temporal Logic of Reactive and Concurrent Systems Specification	Zohar Manna	1992	3679
2611	A Cooperative approach to particle swarm optimization	F. van den Bergh	2004	1726
2612	A polynomial-time algorithm, based on Newton's method, for linear programming	James Renegar	1988	621
2613	Information systems for sustainable competitive advantage	Eric K. Clemons	1986	281
2614	Optimal alignments in linear space	Eugene W. Myers	1988	1510
2615	Tracking control of a piezoceramic actuator	Ping Ge	1996	797
2616	Classical negation in logic programs and disjunctive databases	Michael Gelfond	1991	2424
2617	Semantic similarity in a taxonomy: an information-based measure and its application to problems of ambiguity in natural language	Philip Resnik	1999	2192
2618	Efficient erasure correcting codes	Michael Luby	2001	939
2619	Adaptive display algorithm for interactive frame rates during visualization of complex virtual environments	Thomas A. Funkhouser	1993	903
2620	A Heuristic Algorithm for the Vehicle-Dispatch Problem	Billy E. Gillett	1974	1074
2621	Coverage control for mobile sensing networks	Jorge Cortes	2002	2503
2622	Networks and Basic Solutions	Ellis L. Johnson	1966	170
2623	FlowMap: an optimal technology mapping algorithm for delay optimization in lookup-table based FPGA designs	Jason Cong	1994	788
2624	Bro: a system for detecting network intruders in real-time	Vern Paxson	1998	728
2625	Markov logic networks	Matthew Richardson	2006	2216
2626	Exponentiated gradient versus gradient descent for linear predictors	Jyrki Kivinen	1997	757
2627	Regret in Decision Making under Uncertainty	David E. Bell	1982	427
2628	Project GROPEHaptic displays for scientific visualization	Frederick P. Brooks	1990	600
2629	Clock rate versus IPC: the end of the road for conventional microarchitectures	Vikas Agarwal	2000	862
2630	Unsupervised learning of finite mixture models	Mário A. T. Figueiredo	2002	2165
2631	The Stanford Microarray Database: data access and quality assessment tools	Jeremy Gollub	2003	388
2632	The state of the art in online handwriting recognition	Charles C. Tappert	1990	1095
2633	Terra: a virtual machine-based platform for trusted computing	Tal Garfinkel	2003	1392
2634	PCA-SIFT: a more distinctive representation for local image descriptors	Yan Ke	2004	3957
2635	Segmentation and the Design of Multiprogrammed Computer Systems	Jack B. Dennis	1965	179
2636	Dividing a Graph into Triconnected Components	John E. Hopcroft	1973	684
2637	A comparison of algorithms for maximum entropy parameter estimation	Robert Malouf	2002	665
2638	The use of design descriptions in automated diagnosis	Michael R. Genesereth	1984	753
2639	Multicomputers: message-passing concurrent computers	William C. Athas	1988	556
2640	Designing Sociable Robots	Cynthia Breazeal	2002	1297
2641	Iterative methods for total variation denoising	Curtis R. Vogel	1996	294
2642	Delay-independent stability in bidirectional associative memory networks	K. Gopalsamy	1994	606
2643	Whose Space? Differences Among Users and Non-Users of Social Network Sites	Eszter Hargittai	2007	1501
2644	Indexing based on scale invariant interest points	Krystian Mikolajczyk	2001	1486
2645	Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning	Ronald J. Williams	1992	1568
2646	QoS-aware middleware for Web services composition	Liangzhao Zeng	2004	3198
2647	Underwater acoustic sensor networks: research challenges	Ian F. Akyildiz	2005	2398
2648	On the dynamics of manipulators in space using the virtual manipulator approach	Z. Vafa	1987	279
2649	MULTILISP: a language for concurrent symbolic computation	Robert H. Halstead	1985	1323
2650	The effect of service quality and partnership on the outsourcing of information systems functions	Varun Grover	1996	1234
2651	Learning and recognizing human dynamics in video sequences	Christoph Bregler	1997	631
2652	An implementation of the contract net protocol based on marginal cost calculations	Tuomas Sandholm	1993	666
2653	Efficient crawling through URL ordering	Junghoo Cho	1998	1346
2654	Propagation of trust and distrust	Ramanathan V. Guha	2004	1583
2655	Minimum complexity density estimation	Andrew R. Barron	1991	574
2656	Decomposition of transformation matrices for robot vision	Sundaram Ganapathy	1984	97
2657	The ENZYME database in 2000	Amos Marc Bairoch	2000	1001
2658	Delayed Internet routing convergence	Craig Labovitz	2000	520
2659	An analysis of a large scale habitat monitoring application	Robert Szewczyk	2004	1255
2660	BLAST: at the core of a powerful and diverse set of sequence analysis tools.	Scott D. McGinnis	2004	1044
2661	Negotiation Decision Functions for Autonomous Agents	Peyman Faratin	1998	1352
2662	Consensus theoretic classification methods	Jon Atli Benediktsson	1992	419
2663	Extraction of high-resolution frames from video sequences	Richard R. Schultz	1996	1248
2664	Integrating noninterfering versions of programs	Susan Horwitz	1989	542
2665	ORBIT: an optimizing compiler for scheme	David A. Kranz	1986	469
2666	Reactome: a knowledgebase of biological pathways	Geeta Joshi-Tope	2004	1045
2667	Multiple kernel learning, conic duality, and the SMO algorithm	Francis R. Bach	2004	1453
2668	Representing and using nonfunctional requirements: a process-oriented approach	John Mylopoulos	1992	1279
2669	Virtual memory	Peter J. Denning	1970	804
2670	Learning Probabilistic Relational Models	Nir Friedman	1999	964
2671	Representing and Recognizing the Visual Appearance of Materials using Three-dimensional Textons	Thomas K. Leung	2001	1640
2672	Small forwarding tables for fast routing lookups	Mikael Degermark	1997	906
2673	Convergence analysis of LMS filters with uncorrelated Gaussian data	Arie Feuer	1985	454
2674	Estimation of average switching activity in combinational and sequential circuits	Abhijit Ghosh	1992	637
2675	The political blogosphere and the 2004 U.S. election: divided they blog	Lada A. Adamic	2005	456
2676	The evidence framework applied to classification networks	David J. C. MacKay	1992	746
2677	Effect of partnership quality on IS outsourcing success: conceptual framework and empirical validation	Jae-Nam Lee	1999	805
2678	The computation of visible-surface representations	Demetri Terzopoulos	1988	616
2679	Quantum complexity theory	Ethan Bernstein	1993	454
2680	Brief Stability of extremum seeking feedback for general nonlinear dynamic systems	Miroslav Krstic	2000	205
2681	A few chirps about twitter	Balachander Krishnamurthy	2008	828
2682	CLASSIC: a structural data model for objects	Alexander Borgida	1989	848
2683	Global stability for cellular neural networks with time delay	Teh-Lu Liao	2000	223
2684	Visual Pattern Discrimination	Bela Julesz	1962	897
2685	A Theory of Adaptive Pattern Classifiers	Shun-ichi Amari	1967	592
2686	Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems	Nicholas R. Jennings	1993	694
2687	Algorithms in C	Robert Sedgewick	1992	1007
2688	UML distilled: applying the standard object modeling language	Martin Fowler	1997	356
2689	Loop-free routing using diffusing computations	J. J. Garcia-Lunes-Aceves	1993	383
2690	Implementation of integrity constraints and views by query modification	Michael Stonebraker	1975	626
2691	Storage alternatives for mobile computers	Fred Douglis	1994	338
2692	End-to-end performance of transmission systems with relays over Rayleigh-fading channels	Mazen O. Hasna	2003	1351
2693	Simultaneous parameter estimation and segmentation of Gibbs random fields using simulated annealing	Sridhar Lakshmanan	1989	500
2694	Word-sense disambiguation using statistical models of Roget's categories trained on large corpora	David Yarowsky	1992	821
2695	The NURBS book	Les A. Piegl	1995	5661
2696	An empirical investigation of information technology sourcing practices: lessons from experience	Mary C. Lacity	1998	1253
2697	The humble programmer	Edsger W. Dijkstra	1972	753
2698	Understanding BGP misconfiguration	Ratul Mahajan	2002	673
2699	Collaborative activity and technological design: task coordination in London underground control rooms	Christian Heath	1991	443
2700	A robot that walks; emergent behaviors from a carefully evolved network	Rodney A. Brooks	1989	808
2701	Self-Improving Reactive Agents Based on Reinforcement Learning, Planning and Teaching	Long Ji Lin	1992	577
2702	Efficient randomized pattern-matching algorithms	Richard M. Karp	1987	1332
2703	A fast procedure for computing the distance between complex objects in three-dimensional space	Elmer G. Gilbert	1988	1243
2704	A critical point for random graphs with a given degree sequence	Michael Molloy	1995	1906
2705	Sensing meets mobile social networks: the design, implementation and evaluation of the CenceMe application	Emiliano Miluzzo	2008	1145
2706	Robust principal component analysis	Emmanuel J. Candès	2011	1522
2707	The serializability of concurrent database updates	Christos H. Papadimitriou	1979	848
2708	The PARSEC benchmark suite: characterization and architectural implications	Christian Bienia	2008	2673
2709	Real-Time Systems: Design Principles for Distributed Embedded Applications	Hermann Kopetz	2011	625
2710	A Random Linear Network Coding Approach to Multicast	Tracey Ho	2006	2136
2711	Achievable rates in cognitive radio channels	Natasha Devroye	2006	1105
2712	Particle swarm optimization method in multiobjective problems	Konstantinos E. Parsopoulos	2002	809
2713	A survey of computer vision-based human motion capture	Thomas B. Moeslund	2001	1921
2714	Search and replication in unstructured peer-to-peer networks	Qin Lv	2002	2456
2715	Examining the technology acceptance model using physician acceptance of telemedicine technology	Paul Jen-Hwa Hu	1999	2021
2716	Optimistic recovery in distributed systems	Robert E. Strom	1985	751
2717	Design and evaluation of a compiler algorithm for prefetching	Todd C. Mowry	1992	909
2718	Statistical color models with application to skin detection	Michael J. Jones	1999	659
2719	A General Empirical Solution to the Macro Software Sizing and Estimating Problem	Lawrence H. Putnam	1978	992
2720	Recognitive Aspects of Moment Invariants	Yaser S. Abu-Mostafa	1984	459
2721	A neural probabilistic language model	Yoshua Bengio	2003	902
2722	On the energy detection of unknown signals over fading channels	Fadel F. Digham	2003	1307
2723	ESPRIT--A subspace rotation approach to estimation of parameters of cisoids in noise	Richard H. Roy	1986	225
2724	Cones of Matrices and Set-Functions and 0–1 Optimization	László Lovász	1991	1046
2725	Niagara: a 32-way multithreaded Sparc processor	Poonacha Kongetira	2005	1219
2726	FastCap: a multipole accelerated 3-D capacitance extraction program	Keith Nabors	1991	1153
2727	The CORDIC Trigonometric Computing Technique	Jack Volder	1959	3085
2728	Functional Specialization within Rostral Prefrontal Cortex (Area 10): A Meta-analysis	Sam J. Gilbert	2006	549
2729	Image Denoising by Sparse 3-D Transform-Domain Collaborative Filtering	Kostadin Dabov	2007	3046
2730	A Survey of Socially Interactive Robots	Terrence Fong	2003	2262
2731	Distributing streaming media content using cooperative networking	Venkata N. Padmanabhan	2002	1305
2732	On Finding the Maxima of a Set of Vectors	H. T. Kung	1975	856
2733	Firefly: a multiprocessor workstation	Charles P. Thacker	1987	428
2734	Coherent signal-subspace processing for the detection and estimation of angles of arrival of multiple wide-band sources	Hong Wang	1985	1239
2735	Measuring bottleneck link speed in packet-switched networks	Robert L. Carter	1996	920
2736	Terabit burst switching	Jonathan S. Turner	1999	1198
2737	SLIQ: A Fast Scalable Classifier for Data Mining	Manish Mehta	1996	1166
2738	Yago: a core of semantic knowledge	Fabian M. Suchanek	2007	2435
2739	On the facial structure of set packing polyhedra	Manfred W. Padberg	1973	240
2740	Probabilistic robotics	Sebastian Thrun	2002	5385
2741	Linear spatial pyramid matching using sparse coding for image classification	Jianchao Yang	2009	2800
2742	Fast volume rendering using a shear-warp factorization of the viewing transformation	Philippe Lacroute	1994	1614
2743	Group signatures	David Chaum	1991	1968
2744	Wide-area traffic: the failure of Poisson modeling	Vern Paxson	1994	1458
2745	RMM: a methodology for structured hypermedia design	Tomas Isakowitz	1995	1286
2746	A short-form measure of user information satisfaction: a psychometric evaluation and notes on use	Jack J. Baroudi	1988	774
2747	Scheduling independent tasks to reduce mean finishing time	John L. Bruno	1974	541
2748	Practical techniques for searches on encrypted data	Dawn Xiaodong Song	2000	2506
2749	A Quantitative Measure Of Fairness And Discrimination For Resource Allocation In Shared Computer Systems	Raj Jain	1998	3525
2750	New trends in high performance computing	Osman Yasar	2001	1659
2751	The generalized Gabor scheme of image representation in biological and machine vision	Moshe Porat	1988	599
2752	Empathic communities: balancing emotional and factual communication	Jennifer Preece	1999	252
2753	Hierarchical correctness proofs for distributed algorithms	Nancy A. Lynch	1987	1058
2754	Multiple-query optimization	Timos K. Sellis	1988	857
2755	A Tabu Search Heuristic for the Vehicle Routing Problem with Soft Time Windows	Éric D. Taillard	1997	911
2756	Onix: a distributed control platform for large-scale production networks	Teemu Koponen	2010	991
2757	On the hardness of approximating minimization problems	Carsten Lund	1994	1192
2758	Adam: A Method for Stochastic Optimization	Diederik P. Kingma	2015	2294
2759	A practical scheme for non-interactive verifiable secret sharing	Paul A. Feldman	1987	763
2760	Concurrent online tracking of mobile users	Baruch Awerbuch	1991	260
2761	A Survey of Evolution Strategies.	Thomas G. Back	1991	1128
2762	OIL: an ontology infrastructure for the Semantic Web	Dieter Fensel	2001	1147
2763	Performance assessment of multiobjective optimizers: an analysis and review	Eckart Zitzler	2003	2370
2764	Logic verification using binary decision diagrams in a logic synthesis environment	Sharad Malik	1988	633
2765	Ontobroker: Ontology Based Access to Distributed and Semi-Structured Information	Stefan Decker	1999	779
2766	Performance of various computers using standard linear equations software	Jack Dongarra	1990	966
2767	Joint MAP registration and high-resolution image estimation using a sequence of undersampled images	Russell C. Hardie	1997	1009
2768	A model for measurement error for gene expression arrays	David M. Rocke	2001	520
2769	Unraveling the Web services web: an introduction to SOAP, WSDL, and UDDI	Francisco Curbera	2002	1787
2770	Packet reservation multiple access for local wireless communications	David J. Goodman	1989	1097
2771	Membership Size, Communication Activity, and Sustainability: A Resource-Based Model of Online Social Structures	Brian S. Butler	2001	897
2772	Wait-free synchronization	Maurice Herlihy	1991	1814
2773	Visual interpretation of hand gestures for human-computer interaction: a review	Vladimir Pavlovic	1997	1264
2774	The InterPro database, an integrated documentation resource for protein families, domains and functional sites	Rolf Apweiler	2001	1022
2775	Scheduling Problems and Traveling Salesmen: The Genetic Edge Recombination Operator	L. Darrell Whitley	1989	872
2776	The design and analysis of graphical passwords	Ian H. Jermyn	1999	921
2777	A New Marketing Paradigm for Electronic Commerce	Donna L. Hoffman	1997	1067
2778	Designing object-oriented software	Rebecca Wirfs-Brock	1990	317
2779	Quantum circuit complexity	A. Chi-Chih Yao	1993	650
2780	On the synthesis of a reactive module	Amir Pnueli	1989	747
2781	OHSUMED: an interactive retrieval evaluation and new large test collection for research	William R. Hersh	1994	891
2782	Recommendation as classification: using social and content-based information in recommendation	Chumki Basu	1998	1319
2783	Inventory control in a fluctuating demand environment	Jing-Sheng Song	1993	404
2784	Runge–Kutta Discontinuous Galerkin Methods for Convection-Dominated Problems	Bernardo Cockburn	2002	1420
2785	On Discriminative vs. Generative Classifiers: A comparison of logistic regression and naive Bayes	Andrew Y. Ng	2002	1777
2786	Description and Recognition of Curved Objects	Ramakant Nevatia	1977	556
2787	Garp: a MIPS processor with a reconfigurable coprocessor	J. Hauser	1997	945
2788	A class of multiple-error-correcting codes and the decoding scheme	Irving S. Reed	1954	654
2789	Maté: a tiny virtual machine for sensor networks	Philip Levis	2002	1314
2790	Some simple effective approximations to the 2-Poisson model for probabilistic weighted retrieval	Stephen Robertson	1994	1397
2791	GO: :TermFinder---open source software for accessing Gene Ontology information and finding significantly enriched Gene Ontology terms associated with a list of genes	Elizabeth I. Boyle	2004	1202
2792	Two algorithms for constructing a Delaunay triangulation	D. T. Lee	1980	1378
2793	The steerable pyramid: a flexible architecture for multi-scale derivative computation	Eero P. Simoncelli	1995	1005
2794	Training algorithms for linear text classifiers	David D. Lewis	1996	649
2795	Transmit power adaptation for multiuser OFDM systems	Jiho Jang	2003	1643
2796	Providing robust and ubiquitous security support for mobile ad-hoc networks	Jiejun Kong	2001	1209
2797	A hard-core predicate for all one-way functions	Oded Goldreich	1989	1156
2798	Very Long Instruction Word architectures and the ELI-512	Joseph A. Fisher	1983	669
2799	ATM-based transport architecture for multiservices wireless personal communication networks	Dipankar Raychaudhuri	1994	829
2800	A design framework for teleoperators with kinesthetic feedback	Blake Hannaford	1989	988
2801	Stochastic ranking for constrained evolutionary optimization	Thomas Philip Runarsson	2000	1466
2802	GHT: a geographic hash table for data-centric storage	Sylvia Ratnasamy	2002	1124
2803	Privacy preserving mining of association rules	Alexandre V. Evfimievski	2002	1097
2804	Accurate Unlexicalized Parsing	Daniel N. Klein	2003	2806
2805	DBXplorer: a system for keyword-based search over relational databases	Sanjay Agrawal	2002	1038
2806	Blind beamforming on a randomly distributed sensor array system	Kung Yao	1998	372
2807	Realistic modeling for facial animation	Yuencheng Lee	1995	1313
2808	First- and second-order methods for learning: between steepest descent and Newton's method	Roberto Battiti	1992	1095
2809	On semantic issues connected with incomplete information databases	Witold Lipski	1979	254
2810	Training feedforward neural networks using genetic algorithms	David J. Montana	1989	762
2811	Random waypoint considered harmful	Jungkeun Yoon	2003	1486
2812	A unified approach for calculating error rates of linearly modulated signals over generalized fading channels	Mohamed-Slim Alouini	1999	537
2813	Efficiency analysis for exogenously fixed inputs and outputs	Rajiv D. Banker	1986	1376
2814	Generic Schema Matching with Cupid	Jayant Madhavan	2001	1913
2815	FastSLAM: a factored solution to the simultaneous localization and mapping problem	Michael Montemerlo	2002	2582
2816	Strong authentication for RFID systems using the AES algorithm	Martin Feldhofer	2004	567
2817	The plane with parallel coordinates	Alfred Inselberg	1985	824
2818	Rfam: an RNA family database	Sam Griffiths-Jones	2003	1139
2819	The inductive approach to verifying cryptographic protocols	Lawrence C. Paulson	1998	1187
2820	Map-Reduce for Machine Learning on Multicore	C.R. Chu	2007	1346
2821	Packet Trains--Measurements and a New Model for Computer Network Traffic	Raj Jain	1986	755
2822	A new Voronoi-based surface reconstruction algorithm	Nina Amenta	1998	1252
2823	HT06, tagging paper, taxonomy, Flickr, academic article, to read	Cameron Marlow	2006	1192
2824	Graphcut textures: image and video synthesis using graph cuts	Vivek Kwatra	2003	1634
2825	Performance of reliable transport protocol over IEEE 802.11 wireless LAN: analysis and enhancement	Haitao Wu	2002	1033
2826	Problems in Decentralized Decision making and Computation.	John N. Tsitsiklis	1984	1176
